Employee_ID,Age,Gender,Department,Job_Role,Job_Level,Education,Marital_Status,Business_Travel,Distance_From_Home,Monthly_Income,Salary_Band,Hourly_Rate,Monthly_Rate,Job_Involvement,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Performance_Rating,Overtime,Training_Times_Last_Year,Years_At_Company,Years_In_Current_Role,Years_With_Current_Manager,Total_Working_Years,Years_Since_Last_Promotion,Num_Companies_Worked,Stock_Option_Level,Percent_Salary_Hike,Daily_Rate,Daily_Hours,Job_Change_Last_2Y,Manager_Change_Last_2Y,Attrition
EMP10000,26,Female,Operations,Operations Coordinator,2,Master's,,Travel_Frequently,25.0,8173,High,27.0,,1,3.0,3.0,2.0,,2,Yes,2.0,5,5,5,7,1.0,1,1,13.0,933,10.3,No,No,No
EMP10001,30,Male,Sales,Sales Executive,4,Bachelor's,Married,Non-Travel,6.0,9487,High,31.0,15163.0,3,3.0,3.0,3.0,3.0,2,No,4.0,9,2,9,13,9.0,5,1,25.0,1459,7.2,Yes,No,No
EMP10002,27,Male,Research & Development,Research Scientist,1,Bachelor's,Single,Non-Travel,16.0,4596,Medium,50.0,5923.0,3,4.0,3.0,4.0,3.0,3,No,2.0,6,0,3,7,6.0,3,1,18.0,971,7.4,No,No,No
EMP10003,35,Male,IT,Software Engineer,1,Master's,Married,Travel_Frequently,30.0,7512,High,45.0,3653.0,2,3.0,3.0,2.0,3.0,3,Yes,0.0,14,3,8,15,8.0,2,0,18.0,707,10.1,Yes,No,No
EMP10004,41,Male,Sales,Sales Executive,1,,Single,Travel_Frequently,32.0,5595,Medium,25.0,14581.0,1,3.0,3.0,1.0,4.0,3,No,0.0,15,9,13,19,6.0,1,2,16.0,577,7.7,Yes,No,No
EMP10005,33,Male,Finance,Financial Analyst,2,Bachelor's,Single,Travel_Rarely,9.0,7789,High,30.0,7133.0,1,3.0,2.0,2.0,2.0,3,Yes,2.0,10,9,6,15,2.0,2,1,18.0,630,7.9,Yes,No,No
EMP10006,54,Male,Operations,Operations Coordinator,3,Bachelor's,Married,Travel_Frequently,7.0,9419,High,54.0,10667.0,4,4.0,3.0,2.0,3.0,3,No,4.0,9,1,3,12,6.0,1,1,23.0,684,10.5,No,No,No
EMP10007,43,Female,Sales,Sales Executive,2,Bachelor's,Single,Non-Travel,25.0,6975,Medium,88.0,17784.0,3,3.0,2.0,3.0,4.0,3,Yes,,0,0,0,3,0.0,3,1,25.0,1037,9.1,No,No,No
EMP10008,56,Male,Research & Development,Research Scientist,3,Master's,Married,Travel_Rarely,26.0,8602,High,69.0,5206.0,4,2.0,2.0,2.0,2.0,3,No,5.0,7,7,7,11,0.0,4,2,24.0,450,9.0,No,No,Yes
EMP10009,29,Female,Research & Development,Research Scientist,4,Bachelor's,,Travel_Rarely,30.0,11312,Very High,96.0,7508.0,2,2.0,3.0,3.0,2.0,2,No,2.0,8,2,0,11,8.0,2,1,12.0,1159,9.6,No,No,Yes
